

 firstRunK: 
1
91.09612, -0.00314, 0.00000, 0.38452, 0.00000, 0.00000, 0.00000, -0.00314, 0.00000, 0.38452, -0.00067, -0.00004, -0.00001

 firstRunK: 
0
91.10278, -0.00314, 0.00000, 0.38425, 0.00000, 0.00000, -0.03957, -0.00314, 0.00000, 0.38425, -0.00134, -0.00007, -0.00002

 firstRunK: 
0
91.10946, -0.00314, 0.00000, 0.38408, 0.00000, 0.00000, -0.02638, -0.00313, 0.00000, 0.38408, -0.00201, -0.00011, -0.00002

 firstRunK: 
0
91.11613, -0.00314, -0.00314, 0.38381, 0.00000, -0.47101, -0.03957, -0.00312, -0.00314, 0.38381, -0.00579, -0.00017, -0.00003

 firstRunK: 
0
91.12280, -0.00628, -0.00314, 0.38346, -0.47101, 0.00000, -0.05276, -0.00626, -0.00314, 0.38346, -0.00647, -0.00127, -0.00005

 firstRunK: 
0
91.12947, -0.00628, -0.00628, 0.38284, 0.00000, -0.47101, -0.09232, -0.00624, -0.00627, 0.38285, -0.01093, -0.00243, -0.00007

 firstRunK: 
0
91.13615, -0.00942, -0.00942, 0.38240, -0.47101, -0.47101, -0.06594, -0.00937, -0.00940, 0.38241, -0.01540, -0.00463, -0.00011

 firstRunK: 
0
91.14281, -0.00942, -0.01257, 0.38179, 0.00000, -0.47101, -0.09232, -0.00935, -0.01253, 0.38179, -0.02054, -0.00795, -0.00016

 firstRunK: 
0
91.14949, -0.01257, -0.01571, 0.38126, -0.47101, -0.47097, -0.09232, -0.01248, -0.01566, 0.38126, -0.02567, -0.01230, -0.00021

 firstRunK: 
0
91.15616, -0.01571, -0.01885, 0.38047, -0.47097, -0.47101, -0.10551, -0.01560, -0.01878, 0.38047, -0.03148, -0.01777, -0.00029

 firstRunK: 
0
91.16283, -0.01885, -0.02199, 0.37968, -0.47101, -0.47101, -0.11870, -0.01872, -0.02190, 0.37968, -0.03790, -0.02430, -0.00037

 firstRunK: 
0
91.16950, -0.02199, -0.02827, 0.37871, -0.47101, -0.94202, -0.14508, -0.02182, -0.02815, 0.37871, -0.04812, -0.03197, -0.00048

 firstRunK: 
0
91.17618, -0.02513, -0.03142, 0.37783, -0.47101, -0.47094, -0.13189, -0.02494, -0.03126, 0.37783, -0.05582, -0.04173, -0.00060

 firstRunK: 
0
91.18285, -0.02827, -0.03770, 0.37686, -0.47101, -0.94202, -0.14508, -0.02804, -0.03750, 0.37687, -0.06731, -0.05261, -0.00075

 firstRunK: 
0
91.18952, -0.03142, -0.04398, 0.37581, -0.47094, -0.94202, -0.15827, -0.03114, -0.04374, 0.37581, -0.07935, -0.06558, -0.00091

 firstRunK: 
0
91.19619, -0.03456, -0.04712, 0.37484, -0.47108, -0.47105, -0.14508, -0.03425, -0.04683, 0.37484, -0.08893, -0.08071, -0.00110

 firstRunK: 
0
91.20287, -0.03770, -0.05341, 0.37378, -0.47094, -0.94202, -0.15827, -0.03734, -0.05305, 0.37379, -0.10215, -0.09685, -0.00130

 firstRunK: 
0
91.20953, -0.04084, -0.05969, 0.37282, -0.47108, -0.94195, -0.14508, -0.04044, -0.05927, 0.37282, -0.11604, -0.11519, -0.00153

 firstRunK: 
0
91.21621, -0.04398, -0.06597, 0.37185, -0.47094, -0.94202, -0.14508, -0.04353, -0.06548, 0.37185, -0.13039, -0.13557, -0.00178

 firstRunK: 
0
91.22288, -0.04712, -0.07226, 0.37097, -0.47105, -0.94202, -0.13189, -0.04662, -0.07169, 0.37098, -0.14541, -0.15813, -0.00205

 firstRunK: 
0
91.22955, -0.05027, -0.07540, 0.37027, -0.47097, -0.47101, -0.10551, -0.04972, -0.07474, 0.37027, -0.15775, -0.18273, -0.00234

 firstRunK: 
0
91.23622, -0.05341, -0.08168, 0.36956, -0.47105, -0.94202, -0.10551, -0.05281, -0.08094, 0.36957, -0.17382, -0.20841, -0.00266

 firstRunK: 
0
91.24290, -0.05655, -0.08482, 0.36912, -0.47097, -0.47094, -0.06594, -0.05590, -0.08398, 0.36913, -0.18719, -0.23613, -0.00299

 firstRunK: 
0
91.24957, -0.05969, -0.08796, 0.36877, -0.47097, -0.47105, -0.05276, -0.05900, -0.08703, 0.36878, -0.20110, -0.26488, -0.00333

 firstRunK: 
0
91.25624, -0.05969, -0.09111, 0.36851, 0.00000, -0.47097, -0.03957, -0.05895, -0.09007, 0.36852, -0.21545, -0.29462, -0.00369

 firstRunK: 
0
91.26291, -0.06283, -0.09111, 0.36842, -0.47101, 0.00000, -0.01319, -0.06205, -0.08997, 0.36843, -0.22647, -0.32531, -0.00406

 firstRunK: 
0
91.26958, -0.06283, -0.09425, 0.36851, 0.00000, -0.47101, 0.01319, -0.06200, -0.09300, 0.36852, -0.24107, -0.35597, -0.00443

 firstRunK: 
0
91.27625, -0.06283, -0.09425, 0.36868, 0.00000, 0.00000, 0.02638, -0.06196, -0.09290, 0.36870, -0.25228, -0.38756, -0.00481

 firstRunK: 
0
91.28293, -0.06283, -0.09425, 0.36895, 0.00000, 0.00000, 0.03957, -0.06193, -0.09279, 0.36896, -0.26340, -0.41911, -0.00519

 firstRunK: 
0
91.28960, -0.06283, -0.09425, 0.36939, 0.00000, 0.00000, 0.06594, -0.06189, -0.09269, 0.36940, -0.27414, -0.45049, -0.00557

 firstRunK: 
0
91.29627, -0.06283, -0.09425, 0.37000, 0.00000, 0.00000, 0.09232, -0.06186, -0.09259, 0.37002, -0.28483, -0.48186, -0.00594

 firstRunK: 
0
91.30294, -0.06283, -0.09425, 0.37070, 0.00000, 0.00000, 0.10551, -0.06182, -0.09248, 0.37073, -0.29510, -0.51301, -0.00631

 firstRunK: 
0
91.30962, -0.05969, -0.09425, 0.37150, 0.47101, 0.00000, 0.11870, -0.05865, -0.09238, 0.37152, -0.30539, -0.54420, -0.00669

 firstRunK: 
0
91.31629, -0.05969, -0.09111, 0.37246, 0.00000, 0.47101, 0.14508, -0.05863, -0.08914, 0.37249, -0.31128, -0.57503, -0.00705

 firstRunK: 
0
91.32296, -0.05655, -0.09111, 0.37361, 0.47097, 0.00000, 0.17145, -0.05546, -0.08904, 0.37363, -0.32048, -0.60493, -0.00741

 firstRunK: 
0
91.32964, -0.05341, -0.08796, 0.37484, 0.47097, 0.47097, 0.18464, -0.05230, -0.08580, 0.37487, -0.32516, -0.63443, -0.00775

 firstRunK: 
0
91.33630, -0.05341, -0.08482, 0.37616, 0.00000, 0.47105, 0.19783, -0.05229, -0.08256, 0.37619, -0.32960, -0.66309, -0.00809

 firstRunK: 
0
91.34298, -0.05027, -0.08168, 0.37765, 0.47105, 0.47094, 0.22421, -0.04913, -0.07933, 0.37768, -0.33310, -0.69019, -0.00840

 firstRunK: 
0
91.34965, -0.04712, -0.07854, 0.37924, 0.47097, 0.47108, 0.23740, -0.04598, -0.07611, 0.37927, -0.33655, -0.71654, -0.00871

 firstRunK: 
0
91.35632, -0.04398, -0.07540, 0.38091, 0.47105, 0.47094, 0.25059, -0.04284, -0.07288, 0.38094, -0.33823, -0.74121, -0.00899

 firstRunK: 
0
91.36299, -0.04084, -0.06912, 0.38267, 0.47094, 0.94202, 0.26378, -0.03970, -0.06652, 0.38270, -0.33708, -0.76533, -0.00927

 firstRunK: 
0
91.36967, -0.03770, -0.06597, 0.38460, 0.47108, 0.47101, 0.29015, -0.03656, -0.06331, 0.38464, -0.33694, -0.78652, -0.00950

 firstRunK: 
0
91.37634, -0.03142, -0.05969, 0.38654, 0.94202, 0.94202, 0.29016, -0.03029, -0.05697, 0.38657, -0.33426, -0.80730, -0.00975

 firstRunK: 
0
91.38301, -0.02827, -0.05341, 0.38865, 0.47094, 0.94195, 0.31653, -0.02717, -0.05063, 0.38868, -0.32833, -0.82484, -0.00993

 firstRunK: 
0
91.38968, -0.02199, -0.05027, 0.39085, 0.94202, 0.47105, 0.32972, -0.02089, -0.04743, 0.39088, -0.32636, -0.84107, -0.01012

 firstRunK: 
0
91.39635, -0.01885, -0.04398, 0.39314, 0.47101, 0.94202, 0.34291, -0.01778, -0.04111, 0.39317, -0.31799, -0.85510, -0.01025

 firstRunK: 
0
91.40302, -0.01257, -0.03770, 0.39551, 0.94199, 0.94202, 0.35610, -0.01152, -0.03479, 0.39555, -0.31104, -0.86815, -0.01039

