
32.56281, 0.00000, -0.00942, 0.00214, 0.00000, 0.00000, 0.00000, -0.00382, -0.01475, 0.00077, 1.14648, 1.60138, 0.40995, -18.33435, 38.30645, 0.21161, -101.58221, 262.31680, 1.23741, 140.47475, -199.48099, -1.43651, 816.54999, -1352.04749, -6.17991, 0.78790, -1.11834, -0.00369, 4.46380, -7.56972, -0.03762, -92.24220, 166.57036, 1.05018, -499.95428, 1136.32178, 5.31932, 962.57898, -1369.02161, -9.83888, 5600.04834, -9229.94727, -42.17562, 6.38315, -8.75508, -0.06438, 37.46175, -58.91269, 0.73200
32.56948, 0.00000, -0.00942, 0.00214, 0.00000, 0.00000, 0.00000, -0.00434, -0.01554, 0.00056, 1.30314, 1.83900, 0.47465, 19.67063, -41.14744, -0.22741, 108.50311, -281.76620, -1.32452, -152.83907, 218.48758, 1.54741, -883.98383, 1481.30225, 6.65448, -0.86353, 1.23376, 0.00435, -4.88627, 8.35363, 0.02719, 98.48476, -221.09996, -1.12080, 573.47162, -1514.29797, -7.12793, -1047.97607, 1495.45544, 10.60414, -6061.38477, 10186.94336, 45.77526, -6.95974, 9.20800, 0.06272, -40.22812, 62.64302, 1.27855
32.57615, 0.00000, -0.00942, 0.00214, 0.00000, 0.00000, 0.00000, -0.00482, -0.01612, 0.00037, 1.44712, 2.01267, 0.52995, -21.09945, 44.77325, 0.24436, -116.45163, 306.65137, 1.43799, 166.26517, -239.25616, -1.66692, 957.10187, -1623.82825, -7.17584, 0.94609, -1.35530, -0.00502, 5.34093, -9.18774, -0.04357, -105.40954, 197.67665, 1.20680, -567.75482, 1350.32166, 6.26016, 1140.67175, -1643.08325, -11.43081, 6570.61816, -11102.52832, -49.03385, 7.58413, -10.50038, -0.07473, 44.04261, -70.82488, 0.68998
32.58282, 0.00000, -0.00942, 0.00214, 0.00000, 0.00000, 0.00000, -0.00540, -0.01700, 0.00013, 1.62102, 2.27648, 0.60398, 22.62881, -48.13014, -0.26263, 124.37122, -329.64917, -1.54134, -180.84364, 262.07236, 1.79577, -1036.50232, 1779.13171, 7.73976, -1.03619, 1.49431, 0.00580, -5.84143, 10.13285, 0.03368, 112.50483, -256.95151, -1.28916, 648.08081, -1760.30688, -8.25671, -1241.34875, 1796.10730, 12.31972, -7114.86572, 12241.34180, 53.27472, -8.26587, 11.10117, 0.07387, -47.35514, 75.56945, 1.32341
32.58949, 0.00000, -0.00942, 0.00214, 0.00000, 0.00000, 0.00000, -0.00593, -0.01763, -0.00008, 1.77928, 2.46751, 0.66716, -24.26357, 52.34369, 0.28225, -133.41592, 358.56885, 1.67393, 196.67303, -287.01981, -1.93473, 1122.60962, -1950.23389, -8.35970, 1.13449, -1.64145, -0.00659, 6.38068, -11.14200, -0.05064, -120.35209, 234.29770, 1.38859, -645.15375, 1602.13489, 7.38569, 1350.63232, -1972.23914, -13.28044, 7713.41895, -13351.84766, -57.18621, 9.00441, -12.60076, -0.08674, 51.80910, -85.16393, 0.64017
32.59616, 0.00000, -0.00942, 0.00214, 0.00000, 0.00000, 0.00000, -0.00656, -0.01859, -0.00036, 1.96910, 2.75494, 0.75041, 26.01267, -56.30825, -0.30342, 142.47734, -385.74506, -1.79674, -213.86038, 314.41138, 2.08464, -1216.10120, 2136.82861, 9.03171, -1.24171, 1.80887, 0.00750, -6.97356, 12.28132, 0.04139, 128.41452, -298.46588, -1.48478, 732.58362, -2045.23462, -9.57675, -1469.31445, 2157.08423, 14.31440, -8355.19434, 14708.28906, 62.19515, -9.81039, 13.38663, 0.08683, -55.77325, 91.17678, 1.37693
32.60283, 0.00000, -0.00942, 0.00214, 0.00000, 0.00000, 0.00000, -0.00713, -0.01928, -0.00060, 2.14080, 2.96272, 0.82172, -27.88175, 61.20473, 0.32617, -152.76642, 419.35385, 1.95179, 232.52156, -344.37637, -2.24642, 1317.50244, -2342.25000, -9.77088, 1.35864, -1.98695, -0.00844, 7.61305, -13.50197, -0.05904, -137.30327, 277.32266, 1.59985, -733.35052, 1897.88708, 8.72887, 1598.14417, -2367.56201, -15.43251, 9059.04102, -16053.71191, -66.90443, 10.68388, -15.12945, -0.10070, 60.97637, -102.43091, 0.58088
32.60950, 0.00000, -0.00942, 0.00214, 0.00000, 0.00000, 0.00000, -0.00781, -0.02031, -0.00091, 2.34493, 3.27073, 0.91398, 29.88080, -65.88363, -0.35073, 163.13100, -451.44101, -2.09783, -252.78253, 377.26321, 2.42108, -1427.58521, 2566.43506, 10.57381, -1.48611, 2.18861, 0.00950, -8.31523, 14.87533, 0.05057, 146.46037, -346.63086, -1.71233, 828.27692, -2375.87671, -11.12401, -1738.03979, 2590.52173, 16.63696, -9815.55664, 17670.87500, 72.83640, -11.63666, 16.14466, 0.10190, -65.71605, 110.01426, 1.44098
32.61617, 0.00000, -0.00942, 0.00214, 0.00000, 0.00000, 0.00000, -0.00843, -0.02105, -0.00117, 2.52900, 3.49437, 0.99356, -32.01646, 71.57490, 0.37716, -174.83282, 490.50815, 2.27933, 274.78043, -413.25406, -2.60971, 1546.99512, -2813.08105, -11.45742, 1.62509, -2.40405, -0.01061, 9.07343, -16.35148, -0.06907, -156.52397, 327.78421, 1.84565, -833.68274, 2244.69043, 10.32841, 1889.90186, -2842.34155, -17.94022, 10643.48535, -19299.12500, -78.51929, 12.66963, -18.17475, -0.11697, 71.79837, -123.22993, 0.51005
32.62284, 0.00000, -0.00942, 0.00214, 0.00000, 0.00000, 0.00000, -0.00915, -0.02214, -0.00151, 2.74572, 3.81977, 1.09452, 34.29982, -77.09241, -0.40570, 186.68298, -528.35974, -2.45307, -298.66327, 452.74179, 2.81353, -1676.61658, 3082.42920, 12.41912, -1.77655, 2.64698, 0.01185, -9.90498, 18.00702, 0.06155, 166.91861, -402.58948, -1.97731, 936.60577, -2760.09595, -12.94095, -2054.79663, 3111.00903, 19.34553, -11535.05566, 21229.01758, 85.56437, -13.79590, 19.47200, 0.11946, -77.45938, 132.74420, 1.51784
