3.14, -0.00, -0.00, 0.00
3.14, -0.00, 0.06, -0.02
3.14, -0.00, -0.00, 0.00
3.14, -0.00, -0.06, 0.02
3.14, -0.00, -0.11, 0.04
3.14, -0.00, -0.16, 0.05
3.14, -0.00, -0.21, 0.07
3.14, -0.00, -0.26, 0.09
3.14, -0.00, -0.31, 0.10
3.13, 0.00, -0.36, 0.12
3.13, 0.00, -0.40, 0.13
3.13, 0.00, -0.44, 0.15
3.13, 0.00, -0.48, 0.16
3.12, 0.00, -0.52, 0.18
3.12, 0.00, -0.56, 0.19
3.12, 0.01, -0.60, 0.20
3.11, 0.01, -0.63, 0.22
3.11, 0.01, -0.67, 0.23
3.10, 0.01, -0.70, 0.24
3.10, 0.01, -0.73, 0.25
3.10, 0.01, -0.75, 0.26
3.09, 0.01, -0.78, 0.27
3.09, 0.02, -0.81, 0.28
3.08, 0.02, -0.83, 0.29
3.08, 0.02, -0.85, 0.30
3.07, 0.02, -0.87, 0.31
3.07, 0.02, -0.89, 0.32
3.07, 0.02, -0.90, 0.33
3.06, 0.03, -0.92, 0.34
3.06, 0.03, -0.93, 0.35
3.05, 0.03, -0.94, 0.35
3.05, 0.03, -0.95, 0.36
3.04, 0.03, -0.96, 0.37
3.04, 0.03, -0.97, 0.38
3.03, 0.04, -0.97, 0.38
3.03, 0.04, -0.97, 0.39
3.03, 0.04, -0.98, 0.40
3.02, 0.04, -0.98, 0.40
3.02, 0.05, -0.98, 0.41
3.01, 0.05, -0.97, 0.41
3.01, 0.05, -0.97, 0.42
3.00, 0.05, -0.96, 0.42
3.00, 0.05, -0.96, 0.43
3.00, 0.06, -0.95, 0.43
2.99, 0.06, -0.94, 0.44
2.99, 0.06, -0.93, 0.44
2.99, 0.06, -0.92, 0.44
2.98, 0.07, -0.91, 0.45
2.98, 0.07, -0.89, 0.45
2.98, 0.07, -0.88, 0.46
2.97, 0.07, -0.87, 0.46
2.97, 0.08, -0.85, 0.46
2.97, 0.08, -0.83, 0.47
2.97, 0.08, -0.81, 0.47
2.97, 0.08, -0.80, 0.47
2.96, 0.09, -0.78, 0.48
2.96, 0.09, -0.76, 0.48
2.96, 0.09, -0.74, 0.48
2.96, 0.09, -0.71, 0.48
2.96, 0.10, -0.69, 0.49
2.96, 0.10, -0.67, 0.49
2.96, 0.10, -0.65, 0.49
2.96, 0.10, -0.62, 0.49
2.95, 0.11, -0.60, 0.50
2.95, 0.11, -0.58, 0.50
2.96, 0.11, -0.55, 0.50
2.96, 0.11, -0.53, 0.50
2.96, 0.12, -0.50, 0.50
2.96, 0.12, -0.48, 0.51
2.96, 0.12, -0.45, 0.51
2.96, 0.13, -0.43, 0.51
2.96, 0.13, -0.40, 0.51
2.96, 0.13, -0.38, 0.51
2.96, 0.13, -0.24, 0.48
2.96, 0.14, -0.22, 0.48
2.96, 0.14, -0.08, 0.44
2.97, 0.14, 0.05, 0.41
2.97, 0.14, 0.17, 0.38
2.98, 0.15, 0.29, 0.35
2.98, 0.15, 0.41, 0.32
2.99, 0.15, 0.52, 0.29
2.99, 0.15, 0.64, 0.26
3.00, 0.15, 0.75, 0.23
3.01, 0.16, 0.85, 0.21
3.02, 0.16, 0.96, 0.18
3.03, 0.16, 1.06, 0.16
3.04, 0.16, 1.16, 0.14
3.05, 0.16, 1.25, 0.11
3.06, 0.16, 1.34, 0.09
3.07, 0.16, 1.43, 0.07
3.08, 0.16, 1.51, 0.05
3.09, 0.16, 1.59, 0.03
3.10, 0.16, 1.67, 0.01
3.12, 0.16, 1.74, -0.01
3.13, 0.16, 1.81, -0.03
3.14, 0.16, 1.88, -0.05
3.16, 0.16, 1.94, -0.07
3.17, 0.16, 2.00, -0.09
