0.00004, 3.13217, 3.13217, 0.00457, 0.00293, 0.06185, 0.00000, -0.01939, 0.00000, 5.30298, 5.30298
0.00099, 3.13249, 3.13217, 0.00394, 0.00293, -0.00676, 0.00000, 0.00294, 0.00000, 4.88340, 4.88340
0.00765, 3.13238, 3.13217, 0.00367, 0.00311, -0.06728, 0.00000, 0.02340, 0.00527, 4.80111, 4.80111
0.01432, 3.13199, 3.13217, 0.00366, 0.00337, -0.12646, 0.00000, 0.04347, 0.01319, 4.70859, 5.51528
0.02100, 3.13141, 3.13217, 0.00384, 0.00364, -0.18421, 0.00000, 0.06310, 0.02110, 4.61763, 5.41925
0.02767, 3.12988, 3.12903, 0.00419, 0.00408, -0.24046, -0.09417, 0.08230, 0.03428, 4.53343, 5.32660
0.03434, 3.12848, 3.12903, 0.00469, 0.00460, -0.29516, -0.09417, 0.10112, 0.05010, 4.44454, 5.22757
0.04101, 3.12634, 3.12588, 0.00528, 0.00513, -0.34824, -0.18835, 0.11943, 0.06065, 4.35974, 5.13263
0.04768, 3.12452, 3.12588, 0.00596, 0.00575, -0.39966, -0.18835, 0.13726, 0.07120, 4.27469, 5.03575
0.05435, 3.12209, 3.12274, 0.00675, 0.00654, -0.44943, -0.28252, 0.15464, 0.08702, 4.19322, 4.93907
0.06103, 3.11923, 3.11960, 0.00762, 0.00733, -0.49748, -0.28252, 0.17148, 0.09757, 4.11378, 4.84442
0.06770, 3.11606, 3.11646, 0.00859, 0.00830, -0.54376, -0.37669, 0.18789, 0.11075, 4.03589, 4.74794
0.07437, 3.11267, 3.11332, 0.00963, 0.00927, -0.58822, -0.37669, 0.20376, 0.12394, 3.96013, 4.65360
0.08104, 3.10914, 3.11018, 0.01074, 0.01032, -0.63086, -0.47086, 0.21912, 0.13712, 3.88648, 4.78957
0.08772, 3.10550, 3.10704, 0.01196, 0.01155, -0.67165, -0.47086, 0.23411, 0.15031, 3.81394, 4.68856
0.09439, 3.10180, 3.10389, 0.01325, 0.01279, -0.71061, -0.47086, 0.24859, 0.16349, 3.74341, 4.58957
