0.00004, -3.14159, 3.14159, 0.00070, 0.00258, -0.00141, 0.00000, 0.00046, 0.00000, 5.09281, 5.09281
0.00100, 3.14159, 3.14159, 0.00131, 0.00258, -0.06739, 0.00000, 0.02203, 0.00000, 4.80630, 4.80630
0.00765, 3.14124, 3.14159, 0.00191, 0.00276, -0.12859, 0.00000, 0.04239, 0.00529, 4.71608, 4.71608
0.01430, 3.13990, 3.13845, 0.00245, 0.00293, -0.18833, -0.09440, 0.06232, 0.01057, 4.62754, 5.44268
0.02096, 3.13859, 3.13845, 0.00302, 0.00328, -0.24651, -0.09440, 0.08179, 0.02115, 4.53533, 5.34371
0.02761, 3.13735, 3.13845, 0.00359, 0.00364, -0.30309, -0.09440, 0.10074, 0.03172, 4.44571, 5.24733
0.03427, 3.13532, 3.13531, 0.00423, 0.00416, -0.35807, -0.18880, 0.11918, 0.04758, 4.36010, 5.15158
0.04093, 3.13357, 3.13531, 0.00490, 0.00469, -0.41139, -0.18880, 0.13707, 0.05815, 4.27480, 5.05614
0.04758, 3.13119, 3.13217, 0.00563, 0.00531, -0.46308, -0.18879, 0.15438, 0.07137, 4.19389, 4.96340
0.05424, 3.12920, 3.13217, 0.00646, 0.00610, -0.51309, -0.18879, 0.17125, 0.08459, 4.11259, 4.86689
0.06089, 3.12665, 3.12903, 0.00734, 0.00689, -0.56148, -0.28319, 0.18753, 0.09780, 4.03575, 4.77485
0.06755, 3.12371, 3.12588, 0.00829, 0.00777, -0.60820, -0.28319, 0.20327, 0.10838, 3.96102, 4.68321
0.07421, 3.12049, 3.12274, 0.00931, 0.00874, -0.65318, -0.37759, 0.21848, 0.12159, 3.88841, 4.59201
0.08086, 3.11707, 3.11960, 0.01041, 0.00979, -0.69641, -0.37760, 0.23320, 0.13481, 3.81767, 4.50100
0.08752, 3.11352, 3.11646, 0.01158, 0.01094, -0.73785, -0.47199, 0.24745, 0.14538, 3.74881, 4.63767
0.09418, 3.10988, 3.11332, 0.01284, 0.01217, -0.77750, -0.47199, 0.26126, 0.15860, 3.68153, 4.54192
